County,2010,2011,2012,2013,2014
"Arkansas County, Arkansas",19009,18887,18994,18820,18594
"Ashley County, Arkansas",21835,21655,21497,21252,20948
"Baxter County, Arkansas",41551,41287,41077,40996,40857
"Benton County, Arkansas",222923,227769,232739,237301,242321
"Boone County, Arkansas",36888,37040,37333,37389,37196
"Bradley County, Arkansas",11489,11453,11298,11192,11148
"Calhoun County, Arkansas",5330,5280,5299,5219,5202
"Carroll County, Arkansas",27560,27470,27598,27760,27744
"Chicot County, Arkansas",11794,11673,11458,11338,11180
"Clark County, Arkansas",22950,22953,22822,22697,22576
"Clay County, Arkansas",16057,15836,15580,15294,15118
"Cleburne County, Arkansas",25989,25908,25778,25656,25634
"Cleveland County, Arkansas",8690,8668,8615,8562,8449
"Columbia County, Arkansas",24729,24670,24401,24266,23933
"Conway County, Arkansas",21248,21151,21216,21176,21083
"Craighead County, Arkansas",96726,98381,99903,101647,102518
"Crawford County, Arkansas",61987,61848,61933,61658,61697
"Crittenden County, Arkansas",50954,50528,50070,49758,49548
"Cross County, Arkansas",17841,17747,17654,17504,17227
"Dallas County, Arkansas",8061,8069,7965,7921,7755
"Desha County, Arkansas",12970,12711,12574,12492,12264
"Drew County, Arkansas",18673,18729,18775,18728,18622
"Faulkner County, Arkansas",114039,116293,118529,119390,120768
"Franklin County, Arkansas",18121,17986,17942,17945,17805
"Fulton County, Arkansas",12212,12285,12241,12227,12125
"Garland County, Arkansas",96156,96641,96837,97065,97322
"Grant County, Arkansas",17887,17957,18035,18046,18144
"Greene County, Arkansas",42193,42731,43158,43072,43694
"Hempstead County, Arkansas",22566,22477,22325,22398,22327
"Hot Spring County, Arkansas",33145,33047,33386,33440,33368
"Howard County, Arkansas",13827,13844,13710,13544,13500
"Independence County, Arkansas",36795,36803,36905,36843,36959
"Izard County, Arkansas",13681,13573,13506,13364,13486
"Jackson County, Arkansas",18048,17842,17640,17664,17534
"Jefferson County, Arkansas",77311,76004,74580,73084,72297
"Johnson County, Arkansas",25536,25663,25864,25887,26005
"Lafayette County, Arkansas",7633,7536,7431,7245,7111
"Lawrence County, Arkansas",17499,17285,17039,17061,16931
"Lee County, Arkansas",10376,10289,10190,10041,9860
"Lincoln County, Arkansas",14075,14329,14149,14043,13970
"Little River County, Arkansas",13133,12950,12905,12741,12532
"Logan County, Arkansas",22319,22286,22005,22076,21958
"Lonoke County, Arkansas",68701,69410,70087,70834,71557
"Madison County, Arkansas",15692,15690,15636,15721,15740
"Marion County, Arkansas",16645,16635,16595,16427,16367
"Miller County, Arkansas",43526,43732,43617,43380,43428
"Mississippi County, Arkansas",46371,46035,45550,44734,44235
"Monroe County, Arkansas",8122,8066,7840,7667,7582
"Montgomery County, Arkansas",9485,9381,9315,9216,9082
"Nevada County, Arkansas",8967,9001,8903,8789,8723
"Newton County, Arkansas",8325,8274,8084,8068,7904
"Ouachita County, Arkansas",26109,25746,25411,25013,24828
"Perry County, Arkansas",10447,10386,10326,10344,10245
"Phillips County, Arkansas",21686,21419,20772,20426,19930
"Pike County, Arkansas",11277,11243,11266,11126,11024
"Poinsett County, Arkansas",24544,24459,24325,24222,24246
"Polk County, Arkansas",20679,20570,20440,20354,20225
"Pope County, Arkansas",62110,62662,62717,62747,63201
"Prairie County, Arkansas",8701,8565,8446,8360,8304
"Pulaski County, Arkansas",383600,386862,389058,391536,392702
"Randolph County, Arkansas",17950,17966,17851,17634,17571
"St. Francis County, Arkansas",28172,27952,27883,27302,26899
"Saline County, Arkansas",107631,109851,111668,114185,115719
"Scott County, Arkansas",11267,11239,11007,10914,10693
"Searcy County, Arkansas",8189,8077,7995,7990,7929
"Sebastian County, Arkansas",125824,126916,127370,127118,126776
"Sevier County, Arkansas",17138,17170,17174,17342,17426
"Sharp County, Arkansas",17281,17275,17053,17068,16906
"Stone County, Arkansas",12416,12585,12628,12533,12494
"Union County, Arkansas",41580,41386,40904,40675,40227
"Van Buren County, Arkansas",17296,17184,17155,16965,16851
"Washington County, Arkansas",204019,207893,211734,216753,220792
"White County, Arkansas",77339,78132,78652,78661,78592
"Woodruff County, Arkansas",7243,7192,7071,7052,6910
"Yell County, Arkansas",22159,21942,21811,21807,21951
"Alameda County, California",1513625,1532518,1556249,1583226,1610921
"Alpine County, California",1158,1111,1127,1150,1116
"Amador County, California",37860,37520,37072,36602,36742
"Butte County, California",219924,220025,221279,222420,224241
"Calaveras County, California",45475,45117,44774,44614,44624
"Colusa County, California",21459,21415,21397,21432,21419
"Contra Costa County, California",1052894,1066587,1079358,1095980,1111339
"Del Norte County, California",28580,28485,28226,27827,27212
"El Dorado County, California",181163,180926,180605,181542,183087
"Fresno County, California",932642,941260,948240,956102,965974
"Glenn County, California",28101,28185,27938,27914,27955
"Humboldt County, California",135022,135250,134680,134620,134809
"Imperial County, California",174779,176300,177443,177517,179091
"Inyo County, California",18532,18413,18416,18423,18410
"Kern County, California",841762,849872,856502,865923,874589
"Kings County, California",152418,152063,151340,150862,150269
"Lake County, California",64757,64279,63984,63843,64184
"Lassen County, California",34841,34297,33679,32212,31749
"Los Angeles County, California",9827231,9898214,9974868,10053995,10116705
"Madera County, California",151154,152148,152244,152165,154548
"Marin County, California",252884,255413,256143,258821,260750
"Mariposa County, California",18261,18184,17845,17758,17682
"Mendocino County, California",87761,87460,87497,87471,87869
"Merced County, California",256731,259698,261783,263481,266353
"Modoc County, California",9708,9499,9332,9112,9023
"Mono County, California",14249,14398,14306,14016,13997
"Monterey County, California",416364,421393,426411,429123,431344
"Napa County, California",136829,138056,139135,140580,141667
"Nevada County, California",98752,98788,98333,98262,98893
"Orange County, California",3018080,3056311,3089893,3121854,3145515
"Placer County, California",350214,356897,361446,367339,371694
