County,2010,2011,2012,2013,2014
"Clayton County, Iowa",18090,18000,17934,17785,17692
"Clinton County, Iowa",49109,49103,48723,48330,48051
"Crawford County, Iowa",17127,17210,17306,17422,17228
"Dallas County, Iowa",66652,69722,72121,74727,77400
"Davis County, Iowa",8791,8774,8709,8770,8781
"Decatur County, Iowa",8415,8257,8250,8245,8263
"Delaware County, Iowa",17772,17650,17572,17499,17398
"Des Moines County, Iowa",40250,40099,40271,40452,40255
"Dickinson County, Iowa",16658,16879,16965,16949,16935
"Dubuque County, Iowa",93893,94507,95147,95912,96370
"Emmet County, Iowa",10281,10080,9997,9994,9990
"Fayette County, Iowa",20860,20966,20794,20501,20343
"Floyd County, Iowa",16318,16124,16136,16110,16077
"Franklin County, Iowa",10685,10683,10526,10531,10436
"Fremont County, Iowa",7421,7360,7134,7063,7022
"Greene County, Iowa",9332,9305,9161,9156,9200
"Grundy County, Iowa",12447,12458,12423,12311,12375
"Guthrie County, Iowa",10943,10861,10771,10675,10722
"Hamilton County, Iowa",15630,15447,15308,15312,15117
"Hancock County, Iowa",11305,11276,11164,11102,11027
"Hardin County, Iowa",17531,17384,17378,17424,17311
"Harrison County, Iowa",14925,14796,14520,14437,14324
"Henry County, Iowa",20121,20318,20112,20219,20217
"Howard County, Iowa",9558,9545,9582,9511,9449
"Humboldt County, Iowa",9801,9799,9733,9683,9640
"Ida County, Iowa",7069,7079,7091,7142,7042
"Iowa County, Iowa",16320,16340,16206,16341,16375
"Jackson County, Iowa",19829,19720,19689,19562,19482
"Jasper County, Iowa",36805,36624,36544,36731,36872
"Jefferson County, Iowa",16816,17011,17084,17276,17325
"Johnson County, Iowa",131267,133730,136913,139814,142287
"Jones County, Iowa",20685,20752,20619,20524,20454
"Keokuk County, Iowa",10499,10366,10398,10313,10231
"Kossuth County, Iowa",15517,15369,15351,15277,15222
"Lee County, Iowa",35860,35605,35622,35386,35286
"Linn County, Iowa",211616,213973,215206,216087,217751
"Louisa County, Iowa",11372,11370,11327,11294,11161
"Lucas County, Iowa",8889,8836,8764,8735,8701
"Lyon County, Iowa",11558,11706,11760,11692,11683
"Madison County, Iowa",15722,15724,15627,15463,15609
"Mahaska County, Iowa",22397,22505,22417,22412,22370
"Marion County, Iowa",33248,33352,33378,33196,33365
"Marshall County, Iowa",40682,40982,41058,41022,40866
"Mills County, Iowa",15074,15036,14881,14910,14831
"Mitchell County, Iowa",10789,10702,10727,10724,10779
"Monona County, Iowa",9240,9262,9142,9104,8996
"Monroe County, Iowa",7984,8046,8071,7992,8001
"Montgomery County, Iowa",10694,10651,10558,10421,10421
"Muscatine County, Iowa",42758,42799,42905,42918,42903
"O'Brien County, Iowa",14400,14201,14163,14047,14056
"Osceola County, Iowa",6451,6312,6190,6222,6218
"Page County, Iowa",15934,15926,15751,15577,15496
"Palo Alto County, Iowa",9399,9365,9281,9170,9099
"Plymouth County, Iowa",24977,24839,24881,24924,24874
"Pocahontas County, Iowa",7284,7216,7161,7154,7138
"Polk County, Iowa",432243,437770,443984,451822,459862
"Pottawattamie County, Iowa",93384,93490,92918,92846,93128
"Poweshiek County, Iowa",18902,18861,18759,18634,18668
"Ringgold County, Iowa",5129,5101,5085,5046,5051
"Sac County, Iowa",10343,10220,10162,10049,10035
"Scott County, Iowa",165752,167053,168827,170553,171387
"Shelby County, Iowa",12168,12038,12071,11944,11948
"Sioux County, Iowa",33716,34034,34348,34524,34681
"Story County, Iowa",89596,90896,91721,93410,94073
"Tama County, Iowa",17723,17619,17526,17523,17451
"Taylor County, Iowa",6308,6266,6223,6187,6143
"Union County, Iowa",12506,12557,12591,12599,12516
"Van Buren County, Iowa",7560,7511,7454,7440,7468
"Wapello County, Iowa",35652,35444,35349,35373,35212
"Warren County, Iowa",46323,46664,46950,47399,47956
"Washington County, Iowa",21696,21830,21921,22015,22070
"Wayne County, Iowa",6398,6363,6355,6416,6395
"Webster County, Iowa",37865,37704,37253,37216,36955
"Winnebago County, Iowa",10828,10718,10626,10494,10559
"Winneshiek County, Iowa",21066,21038,21036,20879,20768
"Woodbury County, Iowa",102337,102642,102330,102278,102271
"Worth County, Iowa",7577,7574,7519,7541,7624
"Wright County, Iowa",13186,13038,13008,12963,12840
"Allen County, Kansas",13360,13351,13341,13098,12909
"Anderson County, Kansas",8098,8051,7918,7858,7883
"Atchison County, Kansas",16870,16785,16800,16717,16513
"Barber County, Kansas",4848,4926,4880,4938,4897
"Barton County, Kansas",27684,27697,27553,27510,27385
"Bourbon County, Kansas",15169,14941,14859,14826,14772
"Brown County, Kansas",9982,9998,9888,9949,9815
"Butler County, Kansas",65918,65851,65756,65884,66227
"Chase County, Kansas",2788,2791,2750,2708,2692
"Chautauqua County, Kansas",3646,3614,3566,3553,3481
"Cherokee County, Kansas",21563,21387,21224,20933,20787
"Cheyenne County, Kansas",2721,2704,2675,2682,2693
"Clark County, Kansas",2198,2131,2174,2201,2144
"Clay County, Kansas",8550,8525,8517,8390,8317
"Cloud County, Kansas",9531,9395,9392,9365,9385
"Coffey County, Kansas",8591,8519,8506,8415,8433
"Comanche County, Kansas",1886,1883,1908,1924,1954
"Cowley County, Kansas",36308,36242,36264,36230,35963
"Crawford County, Kansas",39200,39204,39361,39330,39290
"Decatur County, Kansas",2949,2922,2881,2915,2908
"Dickinson County, Kansas",19801,19731,19758,19521,19394
"Doniphan County, Kansas",7956,7955,7877,7859,7874
"Douglas County, Kansas",111296,112491,113339,114803,116585
"Edwards County, Kansas",3049,3021,2974,2957,3030
"Elk County, Kansas",2868,2790,2669,2650,2694
"Ellis County, Kansas",28451,28774,29090,29060,29013
"Ellsworth County, Kansas",6508,6458,6465,6390,6392
"Finney County, Kansas",36939,37112,37130,37131,37184
"Ford County, Kansas",34062,34441,34773,34950,34795
"Franklin County, Kansas",26006,25887,25878,25790,25611
"Geary County, Kansas",35263,35324,38003,36987,36713
"Gove County, Kansas",2683,2689,2721,2765,2727
"Graham County, Kansas",2609,2643,2592,2598,2566
"Grant County, Kansas",7846,7899,7852,7869,7816
"Gray County, Kansas",6026,6106,5994,6007,6082
"Greeley County, Kansas",1256,1250,1266,1286,1301
"Greenwood County, Kansas",6683,6612,6446,6404,6328
"Hamilton County, Kansas",2698,2623,2631,2606,2603
"Harper County, Kansas",6030,5948,5874,5859,5818
"Harvey County, Kansas",34784,34748,34831,34803,34820
"Haskell County, Kansas",4290,4237,4221,4136,4106
"Hodgeman County, Kansas",1908,1979,1953,1951,1916
"Jackson County, Kansas",13490,13468,13448,13373,13539
"Jefferson County, Kansas",19121,18960,18901,18824,18855
"Jewell County, Kansas",3065,3087,3037,3067,3043
"Johnson County, Kansas",545666,552906,559954,567326,574272
"Kearny County, Kansas",3992,3963,3976,3904,3915
"Kingman County, Kansas",7842,7895,7828,7837,7698
"Kiowa County, Kansas",2560,2553,2499,2518,2513
"Labette County, Kansas",21546,21432,21219,20969,20960
"Lane County, Kansas",1736,1762,1700,1720,1687
"Leavenworth County, Kansas",76555,77118,77729,78234,78797
"Lincoln County, Kansas",3232,3206,3159,3138,3167
"Linn County, Kansas",9637,9605,9481,9531,9502
"Logan County, Kansas",2771,2764,2795,2789,2794
"Lyon County, Kansas",33632,33653,33529,33522,33212
"McPherson County, Kansas",29141,29213,29341,29606,29241
"Marion County, Kansas",12663,12540,12372,12224,12208
"Marshall County, Kansas",10105,10003,10066,10028,10006
"Meade County, Kansas",4604,4539,4415,4304,4357
"Miami County, Kansas",32862,32696,32605,32839,32822
"Mitchell County, Kansas",6355,6304,6342,6336,6284
"Montgomery County, Kansas",35370,34744,34433,34396,34065
"Morris County, Kansas",5913,5861,5851,5717,5698
"Morton County, Kansas",3229,3169,3139,3150,3110
"Nemaha County, Kansas",10164,10123,10104,10140,10148
"Neosho County, Kansas",16485,16455,16452,16458,16416
"Ness County, Kansas",3108,3127,3085,3094,3105
"Norton County, Kansas",5661,5672,5605,5642,5560
"Osage County, Kansas",16294,16340,16173,16082,15936
"Osborne County, Kansas",3837,3842,3815,3806,3756
"Ottawa County, Kansas",6093,6085,6061,6071,6065
"Pawnee County, Kansas",6987,7035,6913,6946,6916
"Phillips County, Kansas",5632,5543,5521,5571,5533
"Pottawatomie County, Kansas",21732,22040,22351,22670,22897
"Pratt County, Kansas",9647,9662,9787,9844,9850
"Rawlins County, Kansas",2502,2539,2538,2603,2584
"Reno County, Kansas",64558,64393,64217,64155,63794
"Republic County, Kansas",4957,4913,4858,4810,4803
"Rice County, Kansas",10113,10101,10009,10010,10015
"Riley County, Kansas",71612,73384,76297,75905,75194
"Rooks County, Kansas",5173,5182,5197,5164,5155
"Rush County, Kansas",3318,3200,3207,3186,3197
"Russell County, Kansas",6983,6962,6963,6929,6956
"Saline County, Kansas",55758,55733,55890,55830,55755
"Scott County, Kansas",4946,4906,4900,4992,5080
"Sedgwick County, Kansas",499282,500914,503821,506121,508803
"Seward County, Kansas",22985,23223,23453,23470,23465
"Shawnee County, Kansas",178257,178861,178904,178574,178406
"Sheridan County, Kansas",2551,2544,2533,2531,2539
"Sherman County, Kansas",6008,6039,6125,6107,6110
"Smith County, Kansas",3859,3791,3754,3720,3769
"Stafford County, Kansas",4423,4390,4354,4350,4297
"Stanton County, Kansas",2258,2228,2170,2167,2111
"Stevens County, Kansas",5749,5641,5737,5790,5801
"Sumner County, Kansas",24110,23858,23706,23614,23528
"Thomas County, Kansas",7947,7950,7947,8001,7891
"Trego County, Kansas",2990,2977,2969,2959,2902
"Wabaunsee County, Kansas",7047,7042,7018,7041,7022
"Wallace County, Kansas",1482,1524,1524,1562,1506
"Washington County, Kansas",5789,5838,5731,5628,5598
"Wichita County, Kansas",2238,2257,2226,2186,2176
"Wilson County, Kansas",9394,9239,9119,9105,9028
"Woodson County, Kansas",3299,3306,3260,3206,3157
"Wyandotte County, Kansas",157762,158030,159303,160601,161636
"Adair County, Kentucky",18871,18979,18971,19135,19204
"Allen County, Kentucky",20040,20170,20231,20269,20384
"Anderson County, Kentucky",21458,21560,21663,21752,21888
"Ballard County, Kentucky",8259,8285,8304,8282,8240
"Barren County, Kentucky",42178,42415,42669,43046,43148
"Bath County, Kentucky",11623,11715,11799,12008,12206
"Bell County, Kentucky",28705,28631,28152,27905,27778
"Boone County, Kentucky",119306,121640,123258,124535,126413
"Bourbon County, Kentucky",19964,19993,19996,19935,19972
"Boyd County, Kentucky",49682,49448,49284,48963,48832
"Boyle County, Kentucky",28651,28756,29048,29588,29706
"Bracken County, Kentucky",8494,8493,8464,8440,8406
"Breathitt County, Kentucky",13858,13834,13645,13567,13409
"Breckinridge County, Kentucky",20053,20285,20098,20056,19888
"Bullitt County, Kentucky",74495,75282,75913,76819,77955
"Butler County, Kentucky",12715,12763,12806,12826,12875
"Caldwell County, Kentucky",12986,12981,12921,12785,12725
"Calloway County, Kentucky",37425,37831,38228,38141,38282
"Campbell County, Kentucky",90726,91220,91175,91385,91833
"Carlisle County, Kentucky",5100,5049,5042,4988,4978
"Carroll County, Kentucky",10807,10980,10874,10881,10815
"Carter County, Kentucky",27754,27458,27471,27291,27223
"Casey County, Kentucky",15965,15963,16086,16107,15891
"Christian County, Kentucky",74213,73640,75770,74422,74250
"Clark County, Kentucky",35607,35456,35739,35607,35758
"Clay County, Kentucky",21691,21613,21541,21238,21147
"Clinton County, Kentucky",10276,10151,10233,10136,10165
"Crittenden County, Kentucky",9308,9270,9247,9222,9224
"Cumberland County, Kentucky",6857,6867,6859,6815,6745
"Daviess County, Kentucky",96719,97233,97727,98200,98275
"Edmonson County, Kentucky",12192,12267,12130,12082,12013
"Elliott County, Kentucky",7884,7916,7748,7686,7672
"Estill County, Kentucky",14697,14636,14486,14470,14447
"Fayette County, Kentucky",296695,301213,305251,308411,310797
"Fleming County, Kentucky",14394,14486,14532,14567,14545
"Floyd County, Kentucky",39946,39797,39141,38443,38108
"Franklin County, Kentucky",49319,49307,49379,49661,49880
"Fulton County, Kentucky",6825,6730,6547,6385,6265
"Gallatin County, Kentucky",8608,8576,8491,8504,8589
"Garrard County, Kentucky",16933,16806,16922,16883,16858
"Grant County, Kentucky",24682,24713,24491,24576,24875
"Graves County, Kentucky",37207,37513,37535,37380,37618
"Grayson County, Kentucky",25791,25787,25865,26033,26194
"Green County, Kentucky",11228,11204,11300,11157,11043
"Greenup County, Kentucky",36909,36850,36718,36496,36308
"Hancock County, Kentucky",8556,8604,8671,8686,8753
"Hardin County, Kentucky",106995,107440,107052,108073,108266
"Harlan County, Kentucky",29238,29177,28616,28527,28163
"Harrison County, Kentucky",18819,18679,18592,18532,18592
"Hart County, Kentucky",18218,18348,18433,18539,18597
"Henderson County, Kentucky",46270,46384,46462,46389,46467
"Henry County, Kentucky",15407,15382,15342,15431,15572
"Hickman County, Kentucky",4883,4823,4764,4748,4734
"Hopkins County, Kentucky",46890,46896,46702,46556,46376
"Jackson County, Kentucky",13491,13397,13298,13376,13289
"Jefferson County, Kentucky",742227,746562,751327,757282,760026
"Jessamine County, Kentucky",48678,48865,49563,50084,50815
"Johnson County, Kentucky",23385,23424,23415,23464,23262
"Kenton County, Kentucky",160023,160583,161671,163367,163929
"Knott County, Kentucky",16361,16290,16087,16064,15892
"Knox County, Kentucky",31867,32081,31700,31837,31798
"Larue County, Kentucky",14199,14206,14085,14076,14180
"Laurel County, Kentucky",59017,59377,59587,59681,60015
"Lawrence County, Kentucky",15879,15908,15827,15832,15804
"Lee County, Kentucky",7714,7791,7646,7659,7594
"Leslie County, Kentucky",11290,11281,11144,11005,10918
"Letcher County, Kentucky",24571,24436,23946,23513,23359
"Lewis County, Kentucky",13854,13864,13842,13799,13880
"Lincoln County, Kentucky",24756,24709,24408,24413,24445
"Livingston County, Kentucky",9538,9505,9447,9368,9359
"Logan County, Kentucky",26853,26828,26703,26968,26867
"Lyon County, Kentucky",8319,8428,8437,8463,8430
"McCracken County, Kentucky",65566,65818,65645,65380,65316
"McCreary County, Kentucky",18271,18255,18035,17941,17863
"McLean County, Kentucky",9516,9524,9520,9513,9478
"Madison County, Kentucky",83868,84829,85206,86181,87340
"Magoffin County, Kentucky",13313,13215,13030,12907,12913
"Marion County, Kentucky",19811,20030,19990,19985,20007
"Marshall County, Kentucky",31458,31264,31268,31173,30953
"Martin County, Kentucky",12890,12875,12763,12683,12537
"Mason County, Kentucky",17508,17544,17463,17309,17166
"Meade County, Kentucky",28703,29649,29276,29246,29139
"Menifee County, Kentucky",6355,6406,6314,6323,6287
"Mercer County, Kentucky",21340,21265,21343,21286,21319
"Metcalfe County, Kentucky",10119,10071,9983,9963,9990
"Monroe County, Kentucky",10977,10918,10859,10725,10704
"Montgomery County, Kentucky",26534,26746,26880,27282,27474
"Morgan County, Kentucky",13752,13727,13480,13349,13303
"Muhlenberg County, Kentucky",31642,31505,31359,31244,31207
"Nelson County, Kentucky",43604,44013,44351,44492,44812
"Nicholas County, Kentucky",7127,7100,7029,7022,7041
"Ohio County, Kentucky",23842,23985,24011,23967,23977
"Oldham County, Kentucky",60408,60782,61423,62454,63490
"Owen County, Kentucky",10842,10818,10761,10634,10645
"Owsley County, Kentucky",4777,4832,4694,4618,4508
"Pendleton County, Kentucky",14922,14669,14547,14579,14493
"Perry County, Kentucky",28703,28739,28279,27986,27597
"Pike County, Kentucky",65239,65162,64563,63902,63034
"Powell County, Kentucky",12665,12643,12495,12522,12434
"Pulaski County, Kentucky",63177,63386,63448,63688,63825
"Robertson County, Kentucky",2274,2288,2215,2220,2197
"Rockcastle County, Kentucky",17066,17111,17069,16755,16826
"Rowan County, Kentucky",23337,23496,23414,23524,23655
"Russell County, Kentucky",17556,17661,17541,17698,17774
"Scott County, Kentucky",47453,48039,49028,50033,51284
"Shelby County, Kentucky",42267,42902,43603,44259,44875
"Simpson County, Kentucky",17337,17305,17559,17728,17826
"Spencer County, Kentucky",17114,17351,17409,17554,17668
"Taylor County, Kentucky",24802,24997,25049,25190,25257
"Todd County, Kentucky",12426,12427,12640,12484,12520
"Trigg County, Kentucky",14346,14202,14392,14302,14142
"Trimble County, Kentucky",8805,8806,8842,8842,8786
"Union County, Kentucky",15293,15283,15119,15101,15165
"Warren County, Kentucky",114234,115304,117185,118664,120460
"Washington County, Kentucky",11728,11875,11882,11912,11959
"Wayne County, Kentucky",20840,20880,20775,20659,20486
"Webster County, Kentucky",13602,13550,13479,13401,13236
"Whitley County, Kentucky",35681,35509,35505,35586,35503
"Wolfe County, Kentucky",7349,7359,7188,7253,7214
"Woodford County, Kentucky",25005,24893,25039,25254,25563
"Acadia Parish, Louisiana",61861,61766,61873,62169,62486
"Allen Parish, Louisiana",25743,25750,25613,25635,25713
"Ascension Parish, Louisiana",107863,110041,112173,114432,117029
"Assumption Parish, Louisiana",23360,23187,23073,23196,23034
"Avoyelles Parish, Louisiana",42110,41836,41602,41327,41145
"Beauregard Parish, Louisiana",35824,36046,36254,36223,36198
"Bienville Parish, Louisiana",14334,14234,14163,13995,13885
"Bossier Parish, Louisiana",117601,120003,123073,123848,125064
"Caddo Parish, Louisiana",255609,256942,257328,255164,252603
"Calcasieu Parish, Louisiana",193170,193907,194653,195782,197204
"Caldwell Parish, Louisiana",10131,10081,10000,9933,9894
"Cameron Parish, Louisiana",6899,6685,6623,6679,6679
"Catahoula Parish, Louisiana",10380,10317,10250,10266,10151
"Claiborne Parish, Louisiana",17155,16953,16861,16702,16412
"Concordia Parish, Louisiana",20833,20823,20446,20475,20466
"De Soto Parish, Louisiana",26733,26820,27035,27112,27142
"East Baton Rouge Parish, Louisiana",440854,441518,444296,445279,446042
"East Carroll Parish, Louisiana",7735,7674,7578,7537,7487
"East Feliciana Parish, Louisiana",20178,20155,19970,19705,19813
"Evangeline Parish, Louisiana",33967,33821,33657,33746,33700
"Franklin Parish, Louisiana",20836,20788,20613,20545,20441
"Grant Parish, Louisiana",22340,22364,22376,22351,22384
"Iberia Parish, Louisiana",73272,73543,73916,74030,73913
"Iberville Parish, Louisiana",33395,33367,33350,33438,33327
"Jackson Parish, Louisiana",16292,16346,16236,16128,15994
"Jefferson Parish, Louisiana",432767,434056,434575,435524,435716
"Jefferson Davis Parish, Louisiana",31639,31586,31439,31321,31477
"Lafayette Parish, Louisiana",222152,224257,227055,231310,235644
"Lafourche Parish, Louisiana",96699,97008,97125,97325,98020
"LaSalle Parish, Louisiana",14910,14943,14858,14820,14839
"Lincoln Parish, Louisiana",46868,47055,47146,47528,47617
"Livingston Parish, Louisiana",128689,130180,131944,134238,135751
"Madison Parish, Louisiana",12104,11973,12194,11927,11843
"Morehouse Parish, Louisiana",27888,27482,27431,27035,26760
"Natchitoches Parish, Louisiana",39509,39517,39461,39140,39166
"Orleans Parish, Louisiana",347987,360877,370167,379006,384320
"Ouachita Parish, Louisiana",153950,154619,155350,156182,156325
"Plaquemines Parish, Louisiana",23118,23639,23901,23620,23447
"Pointe Coupee Parish, Louisiana",22767,22828,22711,22443,22406
"Rapides Parish, Louisiana",131787,132055,132111,132552,132488
"Red River Parish, Louisiana",9064,9054,9027,8871,8669
"Richland Parish, Louisiana",20756,20908,20923,20900,20740
"Sabine Parish, Louisiana",24237,24433,24306,24257,24199
"St. Bernard Parish, Louisiana",36796,39489,41498,43380,44409
"St. Charles Parish, Louisiana",52868,52407,52437,52622,52745
"St. Helena Parish, Louisiana",11171,11014,11032,10851,10619
"St. James Parish, Louisiana",22030,21842,21698,21700,21638
"St. John the Baptist Parish, Louisiana",45652,45082,44753,43619,43745
"St. Landry Parish, Louisiana",83500,83426,83483,83472,83709
"St. Martin Parish, Louisiana",52275,52863,52716,52946,53315
"St. Mary Parish, Louisiana",54562,54136,53526,53533,53162
"St. Tammany Parish, Louisiana",234576,236843,239346,242478,245829
"Tangipahoa Parish, Louisiana",121572,122727,123767,125508,127049
"Tensas Parish, Louisiana",5235,5096,4971,4907,4830
"Terrebonne Parish, Louisiana",111522,111618,111731,112638,113328
"Union Parish, Louisiana",22835,22771,22535,22436,22539
"Vermilion Parish, Louisiana",58090,58248,58660,59308,59616
"Vernon Parish, Louisiana",52752,52334,54176,52828,52132
"Washington Parish, Louisiana",47119,47164,46664,46384,46286
"Webster Parish, Louisiana",41218,41256,40943,40701,40333
"West Baton Rouge Parish, Louisiana",23949,24079,24068,24555,25085
"West Carroll Parish, Louisiana",11584,11527,11506,11467,11525
"West Feliciana Parish, Louisiana",15625,15475,15449,15468,15406
"Winn Parish, Louisiana",15284,15138,15049,14787,14743
"Androscoggin County, Maine",107661,107353,107506,107391,107440
"Aroostook County, Maine",71704,71330,70744,70039,69447
"Cumberland County, Maine",281390,282651,284050,285866,287797
"Franklin County, Maine",30704,30701,30627,30519,30296
"Hancock County, Maine",54353,54532,54536,54790,54696
"Kennebec County, Maine",122053,121727,121586,121056,121112
"Knox County, Maine",39707,39684,39608,39588,39676
"Lincoln County, Maine",34382,34269,34195,34170,34170
"Oxford County, Maine",57785,57778,57496,57290,57238
"Penobscot County, Maine",153831,153799,153612,153479,153414
"Piscataquis County, Maine",17540,17353,17260,17176,17026
"Sagadahoc County, Maine",35221,35097,35114,35034,35045
"Somerset County, Maine",52227,51909,51829,51680,51163
"Waldo County, Maine",38797,38806,38889,38975,39051
"Washington County, Maine",32810,32694,32485,32186,31808
"York County, Maine",197196,198247,199055,199463,200710
"Allegany County, Maryland",74988,74527,73883,73531,72952
"Anne Arundel County, Maryland",539174,544976,550715,556348,560133
"Baltimore County, Maryland",806233,813136,818425,823883,826925
"Calvert County, Maryland",88940,89272,89661,90480,90613
"Caroline County, Maryland",33068,32919,32628,32642,32538
"Carroll County, Maryland",167220,167260,167190,167494,167830
"Cecil County, Maryland",101160,101653,101822,101999,102383
"Charles County, Maryland",147118,149242,150791,152900,154747
"Dorchester County, Maryland",32681,32712,32488,32612,32578
"Frederick County, Maryland",234172,237338,239668,241414,243675
"Garrett County, Maryland",30087,30107,29901,29950,29679
"Harford County, Maryland",245205,246725,248696,249415,250105
"Howard County, Maryland",288605,293839,299685,304934,309284
"Kent County, Maryland",20212,20251,19999,19799,19820
"Montgomery County, Maryland",975934,992738,1006547,1019767,1030447
"Prince George's County, Maryland",865905,875524,883764,894199,904430
"Queen Anne's County, Maryland",47871,48380,48570,48572,48804
"St. Mary's County, Maryland",105740,107757,108999,109484,110382
"Somerset County, Maryland",26483,26352,26153,26139,25859
"Talbot County, Maryland",37864,37954,38062,37949,37643
"Washington County, Maryland",147749,148814,149162,149266,149573
"Wicomico County, Maryland",98899,100010,100472,100961,101539
"Worcester County, Maryland",51476,51458,51588,51595,51675
"Baltimore city, Maryland",621317,620889,622950,623404,622793
"Barnstable County, Massachusetts",215903,215335,214845,214836,214914
"Berkshire County, Massachusetts",131310,130575,130230,129489,128715
"Bristol County, Massachusetts",549076,549125,550765,552167,554194
"Dukes County, Massachusetts",16553,16679,16796,17190,17356
"Essex County, Massachusetts",745478,751550,756763,764093,769091
"Franklin County, Massachusetts",71317,71624,71544,71155,70862
"Hampden County, Massachusetts",464160,465963,466539,467414,468161
"Hampshire County, Massachusetts",159266,160112,160351,160970,160939
"Middlesex County, Massachusetts",1506852,1523671,1540192,1558131,1570315
"Nantucket County, Massachusetts",10154,10148,10342,10568,10856
"Norfolk County, Massachusetts",672645,677943,682749,688709,692254
"Plymouth County, Massachusetts",495856,498269,499076,503636,507022
"Suffolk County, Massachusetts",725319,737471,749504,760093,767254
"Worcester County, Massachusetts",800184,803805,806133,810423,813475
"Alcona County, Michigan",10885,10769,10599,10577,10454
"Alger County, Michigan",9560,9551,9494,9515,9459
"Allegan County, Michigan",111507,111552,111939,112485,113847
"Alpena County, Michigan",29546,29356,29240,29081,28988
"Antrim County, Michigan",23521,23404,23361,23289,23267
"Arenac County, Michigan",15868,15634,15512,15451,15353
"Baraga County, Michigan",8835,8813,8706,8688,8654
"Barry County, Michigan",59080,58971,59073,59131,59281
"Bay County, Michigan",107695,107477,107084,106936,106179
"Benzie County, Michigan",17503,17433,17387,17406,17519
"Berrien County, Michigan",156803,156544,156057,155321,155233
"Branch County, Michigan",45164,43886,43756,43472,43545
"Calhoun County, Michigan",135998,135282,134760,134830,134878
"Cass County, Michigan",52197,52466,52054,51682,51608
"Charlevoix County, Michigan",25910,26006,26039,26115,26121
"Cheboygan County, Michigan",26083,25940,25774,25635,25675
"Chippewa County, Michigan",38598,38897,38996,38679,38321
"Clare County, Michigan",30995,30951,30780,30553,30652
"Clinton County, Michigan",75388,76178,76426,77106,77297
"Crawford County, Michigan",14044,14022,13985,13908,13745
"Delta County, Michigan",37061,36934,36831,36819,36559
"Dickinson County, Michigan",26157,26084,26228,26057,25957
"Eaton County, Michigan",107757,107858,107968,108243,108579
"Emmet County, Michigan",32657,32787,32895,33067,33204
"Genesee County, Michigan",424976,421716,418058,415623,412895
"Gladwin County, Michigan",25722,25839,25508,25514,25411
"Gogebic County, Michigan",16394,16130,16050,15900,15737
"Grand Traverse County, Michigan",86954,88141,89005,90024,90782
"Gratiot County, Michigan",42409,42148,42031,42034,41665
"Hillsdale County, Michigan",46600,46603,46264,46115,45830
"Houghton County, Michigan",36712,36909,36850,36729,36495
"Huron County, Michigan",33081,32745,32466,32264,32065
"Ingham County, Michigan",281013,281944,282272,282999,284582
"Ionia County, Michigan",63848,63845,63896,63996,64294
"Iosco County, Michigan",25810,25536,25370,25385,25420
"Iron County, Michigan",11809,11761,11586,11530,11387
"Isabella County, Michigan",70318,70621,70552,70424,70616
"Jackson County, Michigan",160149,159678,160156,159909,159741
"Kalamazoo County, Michigan",250777,252525,255020,257211,258818
"Kalkaska County, Michigan",17125,17144,17082,17274,17394
"Kent County, Michigan",602812,607913,614545,622396,629237
"Keweenaw County, Michigan",2143,2229,2207,2181,2217
"Lake County, Michigan",11499,11475,11468,11372,11341
"Lapeer County, Michigan",88159,88024,88184,88257,88153
"Leelanau County, Michigan",21725,21672,21636,21747,21915
"Lenawee County, Michigan",99649,99391,99150,99048,99047
"Livingston County, Michigan",180987,182334,183013,184392,185596
"Luce County, Michigan",6599,6519,6494,6520,6426
"Mackinac County, Michigan",11087,11069,11129,11072,11042
"Macomb County, Michigan",841097,842765,847750,854997,860112
"Manistee County, Michigan",24554,24703,24604,24444,24420
"Marquette County, Michigan",67101,67446,67790,67663,67676
"Mason County, Michigan",28725,28644,28669,28665,28824
"Mecosta County, Michigan",42824,43420,43482,43218,43186
"Menominee County, Michigan",23973,23922,23748,23835,23714
"Midland County, Michigan",83664,83765,83649,83593,83427
"Missaukee County, Michigan",14817,14945,15037,15092,15037
"Monroe County, Michigan",151911,151499,150840,150179,149824
"Montcalm County, Michigan",63261,63173,63059,62843,62893
"Montmorency County, Michigan",9775,9595,9492,9368,9300
"Muskegon County, Michigan",171916,169986,170146,172246,172344
"Newaygo County, Michigan",48389,48434,47962,47944,47900
"Oakland County, Michigan",1202763,1210910,1220631,1231820,1237868
"Oceana County, Michigan",26524,26426,26259,26195,26221
"Ogemaw County, Michigan",21642,21538,21425,21219,21039
"Ontonagon County, Michigan",6742,6610,6404,6312,6172
"Osceola County, Michigan",23512,23447,23270,23237,23169
"Oscoda County, Michigan",8611,8655,8602,8388,8371
"Otsego County, Michigan",24151,24138,24049,24133,24158
"Ottawa County, Michigan",264052,266298,269454,272877,276292
"Presque Isle County, Michigan",13299,13181,13112,13044,13004
"Roscommon County, Michigan",24444,24283,24091,23930,23955
"Saginaw County, Michigan",199882,198815,198268,196660,195012
"St. Clair County, Michigan",162673,161498,160564,160225,160078
"St. Joseph County, Michigan",61259,61043,60902,60841,60946
"Sanilac County, Michigan",43053,42690,42311,41863,41587
"Schoolcraft County, Michigan",8474,8477,8355,8246,8171
"Shiawassee County, Michigan",70637,69981,69300,68916,68933
"Tuscola County, Michigan",55681,55377,54705,54210,54000
"Van Buren County, Michigan",76143,75907,75250,75346,75199
